code;locatie;datum;totaal;tegenrichting;hoofdrichting
BAT;Bataviabrug;2018-12-14;960;493;467
BAT;Bataviabrug;2018-12-15;654;296;358
BAT;Bataviabrug;2018-12-16;440;198;242
BAT;Bataviabrug;2018-12-17;1052;523;529
BAT;Bataviabrug;2018-12-18;1079;545;534
BAT;Bataviabrug;2018-12-19;1141;590;551
BAT;Bataviabrug;2018-12-20;973;481;492
BAT;Bataviabrug;2018-12-21;793;407;386
BAT;Bataviabrug;2018-12-22;629;282;347
BAT;Bataviabrug;2018-12-23;301;152;149
BAT;Bataviabrug;2018-12-24;463;211;252
BAT;Bataviabrug;2018-12-25;212;112;100
BAT;Bataviabrug;2018-12-26;499;245;254
BAT;Bataviabrug;2018-12-27;659;327;332
BAT;Bataviabrug;2018-12-28;520;250;270
BAT;Bataviabrug;2018-12-29;509;240;269
BAT;Bataviabrug;2018-12-30;359;166;193
BAT;Bataviabrug;2018-12-31;533;239;294
BAT;Bataviabrug;2019-01-01;482;235;247
BAT;Bataviabrug;2019-01-02;595;297;298
BAT;Bataviabrug;2019-01-03;917;438;479
BAT;Bataviabrug;2019-01-04;757;400;357
BAT;Bataviabrug;2019-01-05;507;243;264
BAT;Bataviabrug;2019-01-06;370;170;200
BAT;Bataviabrug;2019-01-07;987;488;499
BAT;Bataviabrug;2019-01-08;968;493;475
BAT;Bataviabrug;2019-01-09;1670;693;977
BAT;Bataviabrug;2019-01-10;975;497;478
BAT;Bataviabrug;2019-01-11;939;476;463
BAT;Bataviabrug;2019-01-12;534;286;248
BAT;Bataviabrug;2019-01-13;377;177;200
BAT;Bataviabrug;2019-01-14;1010;500;510
BAT;Bataviabrug;2019-01-15;1008;512;496
BAT;Bataviabrug;2019-01-16;1089;538;551
BAT;Bataviabrug;2019-01-17;865;433;432
BAT;Bataviabrug;2019-01-18;853;428;425
BAT;Bataviabrug;2019-01-19;608;282;326
BAT;Bataviabrug;2019-01-20;400;188;212
BAT;Bataviabrug;2019-01-21;753;331;422
BAT;Bataviabrug;2019-01-22;656;338;318
BAT;Bataviabrug;2019-01-23;590;293;297
BAT;Bataviabrug;2019-01-24;724;342;382
BAT;Bataviabrug;2019-01-25;715;363;352
BAT;Bataviabrug;2019-01-26;530;259;271
BAT;Bataviabrug;2019-01-27;313;145;168
BAT;Bataviabrug;2019-01-28;669;350;319
BAT;Bataviabrug;2019-01-29;831;411;420
BAT;Bataviabrug;2019-01-30;607;304;303
BAT;Bataviabrug;2019-01-31;783;402;381
BAT;Bataviabrug;2019-02-01;670;337;333
BAT;Bataviabrug;2019-02-02;460;229;231
BAT;Bataviabrug;2019-02-03;484;214;270
BAT;Bataviabrug;2019-02-04;754;369;385
BAT;Bataviabrug;2019-02-05;948;460;488
BAT;Bataviabrug;2019-02-06;788;421;367
BAT;Bataviabrug;2019-02-07;914;444;470
BAT;Bataviabrug;2019-02-08;756;380;376
BAT;Bataviabrug;2019-02-09;537;263;274
BAT;Bataviabrug;2019-02-10;296;127;169
BAT;Bataviabrug;2019-02-11;984;493;491
BAT;Bataviabrug;2019-02-12;992;509;483
BAT;Bataviabrug;2019-02-13;1097;545;552
BAT;Bataviabrug;2019-02-14;1196;583;613
BAT;Bataviabrug;2019-02-15;1166;551;615
BAT;Bataviabrug;2019-02-16;844;428;416
BAT;Bataviabrug;2019-02-17;664;305;359
BAT;Bataviabrug;2019-02-18;1098;557;541
BAT;Bataviabrug;2019-02-19;1141;561;580
BAT;Bataviabrug;2019-02-20;1261;612;649
BAT;Bataviabrug;2019-02-21;1177;577;600
BAT;Bataviabrug;2019-02-22;1140;589;551
BAT;Bataviabrug;2019-02-23;870;394;476
BAT;Bataviabrug;2019-02-24;736;342;394
BAT;Bataviabrug;2019-02-25;1184;584;600
BAT;Bataviabrug;2019-02-26;1220;582;638
BAT;Bataviabrug;2019-02-27;1325;639;686
BAT;Bataviabrug;2019-02-28;1114;552;562
BAT;Bataviabrug;2019-03-01;995;501;494
BAT;Bataviabrug;2019-03-02;638;299;339
BAT;Bataviabrug;2019-03-03;432;212;220
BAT;Bataviabrug;2019-03-04;718;337;381
BAT;Bataviabrug;2019-03-05;882;411;471
BAT;Bataviabrug;2019-03-06;743;374;369
BAT;Bataviabrug;2019-03-07;810;394;416
BAT;Bataviabrug;2019-03-08;904;448;456
BAT;Bataviabrug;2019-03-09;586;291;295
BAT;Bataviabrug;2019-03-10;250;105;145
BAT;Bataviabrug;2019-03-11;877;428;449
BAT;Bataviabrug;2019-03-12;879;435;444
BAT;Bataviabrug;2019-03-13;935;474;461
BAT;Bataviabrug;2019-03-14;785;390;395
BAT;Bataviabrug;2019-03-15;811;391;420
BAT;Bataviabrug;2019-03-16;609;273;336
BAT;Bataviabrug;2019-03-17;587;278;309
BAT;Bataviabrug;2019-03-18;1116;533;583
BAT;Bataviabrug;2019-03-19;1081;536;545
BAT;Bataviabrug;2019-03-20;1183;563;620
BAT;Bataviabrug;2019-03-21;1153;571;582
BAT;Bataviabrug;2019-03-22;1200;599;601
BAT;Bataviabrug;2019-03-23;668;318;350
BAT;Bataviabrug;2019-03-24;619;276;343
BAT;Bataviabrug;2019-03-25;1019;505;514
BAT;Bataviabrug;2019-03-26;1197;596;601
BAT;Bataviabrug;2019-03-27;1207;602;605
BAT;Bataviabrug;2019-03-28;1158;570;588
BAT;Bataviabrug;2019-03-29;1331;641;690
BAT;Bataviabrug;2019-03-30;951;453;498
BAT;Bataviabrug;2019-03-31;621;276;345
BAT;Bataviabrug;2019-04-01;1186;596;590
BAT;Bataviabrug;2019-04-02;987;478;509
BAT;Bataviabrug;2019-04-03;1171;589;582
BAT;Bataviabrug;2019-04-04;1216;600;616
BAT;Bataviabrug;2019-04-05;1244;623;621
BAT;Bataviabrug;2019-04-06;945;429;516
BAT;Bataviabrug;2019-04-07;671;291;380
BAT;Bataviabrug;2019-04-08;927;476;451
BAT;Bataviabrug;2019-04-09;838;416;422
BAT;Bataviabrug;2019-04-10;1095;515;580
BAT;Bataviabrug;2019-04-11;1015;493;522
BAT;Bataviabrug;2019-04-12;871;436;435
BAT;Bataviabrug;2019-04-13;590;268;322
BAT;Bataviabrug;2019-04-14;492;203;289
BAT;Bataviabrug;2019-04-15;1035;514;521
BAT;Bataviabrug;2019-04-16;985;475;510
BAT;Bataviabrug;2019-04-17;1024;513;511
BAT;Bataviabrug;2019-04-18;1192;564;628
BAT;Bataviabrug;2019-04-19;1168;589;579
BAT;Bataviabrug;2019-04-20;989;419;570
BAT;Bataviabrug;2019-04-21;672;311;361
BAT;Bataviabrug;2019-04-22;735;334;401
BAT;Bataviabrug;2019-04-23;1239;620;619
BAT;Bataviabrug;2019-04-24;1237;619;618
BAT;Bataviabrug;2019-04-25;1117;535;582
BAT;Bataviabrug;2019-04-26;1214;595;619
BAT;Bataviabrug;2019-04-27;792;360;432
BAT;Bataviabrug;2019-04-28;1021;537;484
BAT;Bataviabrug;2019-04-29;1229;607;622
BAT;Bataviabrug;2019-04-30;1236;604;632
BAT;Bataviabrug;2019-05-01;1101;539;562
BAT;Bataviabrug;2019-05-02;1163;553;610
BAT;Bataviabrug;2019-05-03;1209;587;622
BAT;Bataviabrug;2019-05-04;628;290;338
BAT;Bataviabrug;2019-05-05;1317;640;677
BAT;Bataviabrug;2019-05-06;1118;545;573
BAT;Bataviabrug;2019-05-07;1228;608;620
BAT;Bataviabrug;2019-05-08;1135;540;595
BAT;Bataviabrug;2019-05-09;1228;567;661
BAT;Bataviabrug;2019-05-10;1111;537;574
BAT;Bataviabrug;2019-05-11;825;379;446
BAT;Bataviabrug;2019-05-12;695;319;376
BAT;Bataviabrug;2019-05-13;1358;645;713
BAT;Bataviabrug;2019-05-14;1302;615;687
BAT;Bataviabrug;2019-05-15;1390;669;721
BAT;Bataviabrug;2019-05-16;1487;714;773
BAT;Bataviabrug;2019-05-17;1160;555;605
BAT;Bataviabrug;2019-05-18;1000;470;530
BAT;Bataviabrug;2019-05-19;550;251;299
BAT;Bataviabrug;2019-05-20;1216;594;622
BAT;Bataviabrug;2019-05-21;1304;621;683
BAT;Bataviabrug;2019-05-22;1407;672;735
BAT;Bataviabrug;2019-05-23;1374;657;717
BAT;Bataviabrug;2019-05-24;1546;744;802
BAT;Bataviabrug;2019-05-25;889;397;492
BAT;Bataviabrug;2019-05-26;835;389;446
BAT;Bataviabrug;2019-05-27;1322;635;687
BAT;Bataviabrug;2019-05-28;1081;520;561
BAT;Bataviabrug;2019-05-29;1295;609;686
BAT;Bataviabrug;2019-05-30;714;293;421
BAT;Bataviabrug;2019-05-31;987;498;489
BAT;Bataviabrug;2019-06-01;1007;464;543
BAT;Bataviabrug;2019-06-02;1810;834;976
BAT;Bataviabrug;2019-06-03;1263;619;644
