code;locatie;month;totaal;tegenrichting;hoofdrichting
BAT;Bataviabrug;2018-12;11776;5757;6019
BAT;Bataviabrug;2019-01;23082;11312;11770
BAT;Bataviabrug;2019-02;25816;12647;13169
BAT;Bataviabrug;2019-03;26945;13080;13865
BAT;Bataviabrug;2019-04;30133;14609;15524
BAT;Bataviabrug;2019-05;34975;16652;18323
BAT;Bataviabrug;2019-06;40488;18812;21676
BAT;Bataviabrug;2019-07;35474;16753;18721
BAT;Bataviabrug;2019-08;37707;17550;20157
BAT;Bataviabrug;2019-09;45442;20730;24712
BAT;Bataviabrug;2019-10;35022;16148;18874
BAT;Bataviabrug;2019-11;29618;14071;15547
BAT;Bataviabrug;2019-12;27771;13572;14199
BAT;Bataviabrug;2020-01;31440;15996;15444
BAT;Bataviabrug;2020-02;26877;13715;13162
BAT;Bataviabrug;2020-03;23466;11845;11621
BAT;Bataviabrug;2020-04;24030;11056;12974
BAT;Bataviabrug;2020-05;29301;13572;15729
BAT;Bataviabrug;2020-06;30933;14486;16447
BAT;Bataviabrug;2020-07;28180;13090;15090
BAT;Bataviabrug;2020-08;32501;15366;17135
BAT;Bataviabrug;2020-09;37778;18006;19772
BAT;Bataviabrug;2020-10;26107;12675;13432
BAT;Bataviabrug;2020-11;15228;7403;7825
BAT;Bataviabrug;2020-12;10853;5337;5516
BAT;Bataviabrug;2021-01;9763;5094;4669
BAT;Bataviabrug;2021-02;19798;10709;9089
BAT;Bataviabrug;2021-03;30399;15981;14418
BAT;Bataviabrug;2021-04;31309;16281;15028
BAT;Bataviabrug;2021-05;40802;21090;19712
BAT;Bataviabrug;2021-06;17346;8830;8516
BAT;Bataviabrug;2021-12;20614;10781;9833
BAT;Bataviabrug;2022-01;39479;21193;18286
BAT;Bataviabrug;2022-02;41129;22185;18944
BAT;Bataviabrug;2022-03;58030;31238;26792
BAT;Bataviabrug;2022-04;50895;27374;23521
BAT;Bataviabrug;2022-05;65729;34576;31153
BAT;Bataviabrug;2022-06;67950;35854;32096
BAT;Bataviabrug;2022-07;51283;26464;24819
BAT;Bataviabrug;2022-08;59465;30927;28538
BAT;Bataviabrug;2022-09;62199;34843;27356
BAT;Bataviabrug;2022-10;62559;35292;27267
BAT;Bataviabrug;2022-11;50919;28694;22225
BAT;Bataviabrug;2022-12;41703;22928;18775
BAT;Bataviabrug;2023-01;46524;25243;21281
BAT;Bataviabrug;2023-02;51191;27920;23271
BAT;Bataviabrug;2023-03;59848;32130;27718
BAT;Bataviabrug;2023-04;57279;31250;26029
BAT;Bataviabrug;2023-05;73842;39863;33979
BAT;Bataviabrug;2023-06;83247;44712;38535
BAT;Bataviabrug;2023-07;55919;30117;25802
BAT;Bataviabrug;2023-08;62763;33712;29051
BAT;Bataviabrug;2023-09;82765;44119;38646
BAT;Bataviabrug;2023-10;79595;42634;36961
BAT;Bataviabrug;2023-11;61389;32749;28640
BAT;Bataviabrug;2023-12;51872;27575;24297
BAT;Bataviabrug;2024-01;46518;25531;20987
BAT;Bataviabrug;2024-02;48748;26933;21815
BAT;Bataviabrug;2024-03;59744;35112;24632
BAT;Bataviabrug;2024-04;54144;30085;24059
BAT;Bataviabrug;2024-05;61468;33925;27543
BAT;Bataviabrug;2024-06;65717;37198;28519
BAT;Bataviabrug;2024-07;51141;24366;26775
BAT;Bataviabrug;2024-08;56309;15674;40635
BAT;Bataviabrug;2024-09;67567;17229;50338
BAT;Bataviabrug;2024-10;70496;18077;52419
BAT;Bataviabrug;2024-11;58065;15371;42694
BAT;Bataviabrug;2024-12;49989;13520;36469
BAT;Bataviabrug;2025-01;14536;3979;10557
BAT;Bataviabrug;2025-02;54942;15019;39923
BAT;Bataviabrug;2025-03;66326;17404;48922
BAT;Bataviabrug;2025-04;64711;16986;47725
BAT;Bataviabrug;2025-05;71708;18114;53594
BAT;Bataviabrug;2025-06;71234;17866;53368
BAT;Bataviabrug;2025-07;58132;16224;41908
BAT;Bataviabrug;2025-08;62685;18589;44096
BAT;Bataviabrug;2025-09;71269;19854;51415
BAT;Bataviabrug;2025-10;65583;18532;47051
BAT;Bataviabrug;2025-11;16168;4618;11550
BAT;Bataviabrug;2025-12;44027;13371;30656
BAT;Bataviabrug;2026-01;48914;15525;33389
BAT;Bataviabrug;2026-02;51659;15654;36005
BAT;Bataviabrug;2026-03;68794;20534;48260
BIK;Bijlokekaai;2021-08;151617;64708;86909
BIK;Bijlokekaai;2021-09;207192;89943;117249
BIK;Bijlokekaai;2021-10;206000;86548;119452
BIK;Bijlokekaai;2021-11;164673;68901;95772
BIK;Bijlokekaai;2021-12;121102;49479;71623
BIK;Bijlokekaai;2026-01;166394;78964;87430
BIK;Bijlokekaai;2026-02;183003;83815;99188
BIK;Bijlokekaai;2026-03;235634;108660;126974
COU;Coupure-Links;2021-03;190974;95363;95611
COU;Coupure-Links;2021-04;165128;83034;82094
COU;Coupure-Links;2021-05;174651;86510;88141
COU;Coupure-Links;2021-06;220065;109419;110646
COU;Coupure-Links;2021-07;155539;76319;79220
COU;Coupure-Links;2021-08;165908;81506;84402
COU;Coupure-Links;2021-09;245518;121332;124186
COU;Coupure-Links;2021-10;272865;136235;136630
COU;Coupure-Links;2021-11;216423;107732;108691
COU;Coupure-Links;2021-12;158339;80261;78078
COU;Coupure-Links;2022-01;151772;77044;74728
COU;Coupure-Links;2022-02;173059;87209;85850
COU;Coupure-Links;2022-03;251895;126228;125667
COU;Coupure-Links;2022-04;199802;101174;98628
COU;Coupure-Links;2022-05;252478;125177;127301
COU;Coupure-Links;2022-06;229834;114700;115134
COU;Coupure-Links;2022-07;179065;86574;92491
COU;Coupure-Links;2022-08;199651;97597;102054
