code;locatie;year;totaal;tegenrichting;hoofdrichting
BAT;Bataviabrug;2018;11776;5757;6019
BAT;Bataviabrug;2019;392473;185936;206537
BAT;Bataviabrug;2020;316694;152547;164147
BAT;Bataviabrug;2021;170031;88766;81265
BAT;Bataviabrug;2022;651340;351568;299772
BAT;Bataviabrug;2023;766234;412024;354210
BAT;Bataviabrug;2024;689906;293021;396885
BAT;Bataviabrug;2025;661321;180556;480765
BAT;Bataviabrug;2026;169367;51713;117654
BIK;Bijlokekaai;2021;850584;359579;491005
BIK;Bijlokekaai;2026;585031;271439;313592
COU;Coupure-Links;2021;1965410;977711;987699
COU;Coupure-Links;2022;2627127;1306631;1320496
COU;Coupure-Links;2023;1688321;837709;850612
COU;Coupure-Links;2024;1924491;972899;951592
COU;Coupure-Links;2025;3059566;1591297;1468269
COU;Coupure-Links;2026;817628;414111;403517
DAN;Dampoort-Noord;2024;505076;452523;52553
DAN;Dampoort-Noord;2025;1228394;1093639;134755
DAN;Dampoort-Noord;2026;277987;249493;28494
DAZ;Dampoort-Zuid;2018;67395;18901;48494
DAZ;Dampoort-Zuid;2019;1772619;396755;1375864
DAZ;Dampoort-Zuid;2020;1219585;177587;1041998
DAZ;Dampoort-Zuid;2021;1227982;159074;1068908
DAZK;Dampoort-Zuid;2024;845400;650589;194811
DAZK;Dampoort-Zuid;2025;2176799;1663236;513563
DAZK;Dampoort-Zuid;2026;535845;402859;132986
DRO;Spoorwegbrug Drongen (F6);2024;245750;121550;124200
DRO;Spoorwegbrug Drongen (F6);2025;338446;166261;172185
DRO;Spoorwegbrug Drongen (F6);2026;79985;36976;43009
GAA;Gaardeniersbrug;2020;349133;172827;176306
GAA;Gaardeniersbrug;2021;810732;403201;407531
GAA;Gaardeniersbrug;2022;810234;392632;417602
GAA;Gaardeniersbrug;2023;1222686;602791;619895
GAA;Gaardeniersbrug;2024;1368444;674944;693500
GAA;Gaardeniersbrug;2025;1571903;769433;802470
GAA;Gaardeniersbrug;2026;405406;197807;207599
GRO;Groendreef;2018;421366;195999;225367
GRO;Groendreef;2019;1460328;695641;764687
GRO;Groendreef;2020;618903;270057;348846
GRO;Groendreef;2021;1406863;640694;766169
GRO;Groendreef;2022;1820312;843289;977023
GRO;Groendreef;2023;1921401;879619;1041782
GRO;Groendreef;2024;1983930;909721;1074209
GRO;Groendreef;2025;2256404;1035825;1220579
GRO;Groendreef;2026;536608;243756;292852
HAV;Louisa d'Havébrug (F400);2024;573189;278477;294712
HAV;Louisa d'Havébrug (F400);2025;2398949;1167330;1231619
HAV;Louisa d'Havébrug (F400);2026;503895;236066;267829
ISA;Isabellakaai;2022;608358;294310;314048
ISA;Isabellakaai;2023;763834;366845;396989
ISA;Isabellakaai;2024;1022010;519348;502662
ISA;Isabellakaai;2025;1141099;586800;554299
ISA;Isabellakaai;2026;274504;141111;133393
SAS;Marie Sassepad (F400);2024;401903;203415;198488
SAS;Marie Sassepad (F400);2025;1712911;857126;855785
SAS;Marie Sassepad (F400);2026;373973;193663;180310
VIS;Visserij;2022;1962970;926736;1036234
VIS;Visserij;2023;2025605;980640;1044965
VIS;Visserij;2024;2089794;1008752;1081042
VIS;Visserij;2025;2229710;1070727;1158983
VIS;Visserij;2026;535737;258912;276825
ZUI;Zuidparklaan;2018;235866;111257;124609
ZUI;Zuidparklaan;2019;741181;384202;356979
ZUI;Zuidparklaan;2020;740161;337172;402989
ZUI;Zuidparklaan;2021;680501;321948;358553
ZUI;Zuidparklaan;2022;769734;351813;417921
ZUI;Zuidparklaan;2023;817169;370059;447110
ZUI;Zuidparklaan;2024;500948;232543;268405
ZUI;Zuidparklaan;2025;660479;304476;356003
ZUI;Zuidparklaan;2026;164775;75510;89265
