geometry;naam;sensoren;bouwjaar;eigenaar;point_x;point_y;code;urid;display;display_codedvalue;begindatum;einddatum;actief;actief_codedvalue;lat;long;geo_point_2d
"{""coordinates"": [3.734989309932452, 51.064624208336525], ""type"": ""Point""}";Bataviabrug;1;2018;Stad Gent;105573.99250000;195131.55900000;BAT;mob/ftstel23;Nee;0;2018-12-12T23:00:00Z;;Ja;1;51.0646242081;3.7349893102;51.064624208336525, 3.734989309932452
"{""coordinates"": [3.728998679762948, 51.03971504140666], ""type"": ""Point""}";Isabellakaai;2;2021;Stad Gent;105130.21820000;192364.17000000;ISA;mob/ftstel27;Ja;1;2021-12-07T23:00:00Z;;Ja;1;51.0397150416;3.7289986793;51.03971504140666, 3.728998679762948
"{""coordinates"": [3.720225656341436, 51.04417054885185], ""type"": ""Point""}";Bijlokekaai;2;2021;Stad Gent;104519.25570000;192865.14690000;BIK;mob/ftstel29;Ja;1;2021-07-31T22:00:00Z;;Ja;1;51.0441705486;3.7202256561;51.04417054885185, 3.720225656341436
"{""coordinates"": [3.740348330134118, 51.05689655849127], ""type"": ""Point""}";Dampoort-Zuid;1;2018;Stad Gent;105942.37470000;194268.71400000;DAZ;mob/ftstel24;Nee;0;2018-12-14T23:00:00Z;;Ja;1;51.0568965584;3.7403483300;51.05689655849127, 3.740348330134118
"{""coordinates"": [3.716310235987854, 51.06873773737375], ""type"": ""Point""}";Gaardeniersbrug;1;2019;Stad Gent;104268.66820000;195600.49350000;GAA;mob/ftstel22;Nee;0;2020-07-14T22:00:00Z;;Ja;1;51.0687377376;3.7163102363;51.06873773737375, 3.716310235987854
"{""coordinates"": [3.73350908936346, 51.036131804258645], ""type"": ""Point""}";Marie Sassepad;2;2024;Stad Gent;105443.14480000;191962.84620000;SAS;mob/ftstel40;Ja;1;;;Ja;1;51.0361318044;3.7335090892;51.036131804258645, 3.73350908936346
"{""coordinates"": [3.700341375662216, 51.06484249920388], ""type"": ""Point""}";Groendreef;2;2018;Stad Gent;103145.50770000;195177.11770000;GRO;mob/ftstel21;Ja;1;2018-09-30T22:00:00Z;;Ja;1;51.0648424989;3.7003413758;51.06484249920388, 3.700341375662216
"{""coordinates"": [3.709189838702975, 51.05354799112234], ""type"": ""Point""}";Coupure Links;2;2021;Stad Gent;103754.60150000;193915.13440000;COU;mob/ftstel28;Ja;1;2021-02-28T23:00:00Z;;Ja;1;51.0535479913;3.7091898390;51.05354799112234, 3.709189838702975
"{""coordinates"": [3.736291411648564, 51.03963058188876], ""type"": ""Point""}";Zuidparklaan;1;2018;Stad Gent;105641.60720000;192350.39720000;ZUI;mob/ftstel26;Nee;0;2018-09-30T22:00:00Z;;Ja;1;51.0396305819;3.7362914114;51.03963058188876, 3.736291411648564
"{""coordinates"": [3.740000347945883, 51.053875318755445], ""type"": ""Point""}";Luc Lemiengrepad;2;2024;Stad Gent;105915.13520000;193932.82580000;LEM;mob/ftstel36;Ja;1;;;Ja;1;51.0538753186;3.7400003481;51.053875318755445, 3.740000347945883
"{""coordinates"": [3.733398407937317, 51.03576722878035], ""type"": ""Point""}";Louisa d'Havébrug;2;2024;Stad Gent;105435.03500000;191922.35600000;HAV;mob/ftstel37;Ja;1;;;Ja;1;51.0357672285;3.7333984080;51.03576722878035, 3.733398407937317
"{""coordinates"": [3.677120167214546, 51.042709019898076], ""type"": ""Point""}";Spoorwegbrug Drongen;1;2024;Stad Gent;101494.87950000;192729.81590000;DRO;mob/ftstel38;Nee;0;;;Ja;1;51.0427090201;3.6771201675;51.042709019898076, 3.677120167214546
"{""coordinates"": [3.739154224779759, 51.044494820063576], ""type"": ""Point""}";Visserij;2;2021;Stad Gent;105846.97190000;192889.80700000;VIS;mob/ftstel25;Ja;1;2021-07-06T22:00:00Z;;Ja;1;51.0444948203;3.7391542246;51.044494820063576, 3.739154224779759
"{""coordinates"": [3.740570099024927, 51.05749839689501], ""type"": ""Point""}";Dampoort-Noord;1;2024;Stad Gent;105958.48840000;194335.53350000;DAN;mob/ftstel35;Nee;0;;;Ja;1;51.0574983970;3.7405700991;51.05749839689501, 3.740570099024927
